State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	0.68588	0.68768	0.68907	0.69074	0.69024	0.68898	0.68763	0.68948	0.69006	0.69384	0.70267	0.70956	0.71847	0.72027	0.72568	0.72955	0.73491	0.74058	0.74576	0.75372	0.76102
2	0.58176	0.58245	0.57690	0.56997	0.59493	0.61088	0.62613	0.64070	0.65664	0.66566	0.66566	0.66635	0.67606	0.69825	0.72182	0.75164	0.76135	0.78908	0.80434	0.80642	0.82375
3	2.70169	2.70169	2.68851	2.74781	2.70828	2.65556	2.60944	2.47765	2.47106	2.42493	2.27996	2.21407	2.25360	2.25360	2.18112	2.16135	2.25360	2.10863	2.13499	2.09546	2.12181
4	3.41429	3.40689	3.41873	3.44143	3.44044	3.44981	3.44241	3.41380	3.37729	3.34621	3.31859	3.27962	3.22782	3.18490	3.12274	3.05811	2.97080	2.90617	2.83661	2.77347	2.70193
5	1.49320	1.51582	1.51344	1.47534	1.46105	1.42056	1.37412	1.35626	1.32292	1.29673	1.24910	1.23838	1.25743	1.21456	1.21575	1.16693	1.16812	1.17646	1.18479	1.18956	1.16932
6	2.05646	2.05052	2.06240	2.08321	2.07132	2.06835	2.14264	2.19613	2.27340	2.25854	2.20505	2.14264	2.02674	1.99405	1.94650	1.94948	1.90490	1.83952	1.68499	1.71768	1.78009
7	1.18617	1.19639	1.23952	1.20206	1.24406	1.28606	1.37800	1.35190	1.39049	1.41433	1.42908	1.41887	1.38708	1.44270	1.44497	1.43589	1.49265	1.50286	1.54486	1.52102	1.49378
8	1.83372	1.76155	1.60384	1.60116	1.65997	1.70007	1.62522	1.80699	1.86312	1.80966	1.74016	1.67868	1.57711	1.59582	1.57443	1.73749	1.69472	1.76422	1.78828	1.79095	1.73749
9	3.16673	3.09401	3.03782	2.98493	2.81304	2.75354	2.71387	2.59157	2.60809	2.60479	2.48579	2.57173	2.59818	2.66759	2.80312	2.83287	2.79321	2.73371	2.70396	2.64115	2.73701
10	3.68779	3.67248	3.62658	3.59087	3.55007	3.52456	3.53987	3.56537	3.46846	3.46846	3.41235	3.26443	3.10121	3.02470	2.83597	2.74926	2.86148	2.78497	2.82577	2.71356	2.53503
