State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	0.80142	0.78588	0.76132	0.72337	0.67334	0.60873	0.53680	0.47075	0.42390	0.39775	0.38801	0.39008	0.40772	0.43173	0.46189	0.49491	0.52960	0.55969	0.58278	0.59768	0.61242
2	0.72586	0.70811	0.68975	0.65976	0.60713	0.56061	0.50308	0.44800	0.39781	0.39353	0.37884	0.38129	0.38619	0.40149	0.41985	0.43025	0.45718	0.46147	0.46881	0.47921	0.49145
3	1.11089	1.02947	0.97712	0.94222	1.00039	0.88988	0.78519	0.63978	0.56999	0.59907	0.59325	0.54672	0.54091	0.63397	0.74447	0.95967	1.16906	1.37262	1.55293	1.75068	1.86118
4	0.89307	0.83080	0.76767	0.69626	0.62005	0.55997	0.51599	0.46635	0.43935	0.42368	0.42150	0.43108	0.44109	0.46112	0.48986	0.53689	0.62397	0.76375	0.92007	1.09119	1.22356
5	1.32638	1.12774	0.90597	0.71574	0.59382	0.53181	0.47821	0.46665	0.44878	0.46245	0.45929	0.46875	0.48872	0.50659	0.52446	0.55704	0.69892	1.15191	1.78042	2.49300	3.22346
6	2.75155	2.67548	2.40007	1.99087	1.62890	1.14626	1.02823	0.84986	0.82101	0.76068	0.80265	0.79740	0.78691	0.86822	0.94429	1.34823	2.70958	4.50635	6.03295	6.76215	6.91691
7	2.56183	2.71712	2.89446	3.18300	3.36134	3.33128	2.93653	2.35243	1.87954	1.94967	1.84347	1.49983	1.42068	1.47177	1.53690	1.72826	1.81442	1.86952	1.84848	1.76833	1.60302
8	2.86664	3.17808	3.80331	4.60314	5.70968	7.11823	8.46307	8.65654	7.95581	9.09539	9.31009	5.85833	5.66014	5.65542	5.81350	5.66250	5.03726	3.95667	3.00820	2.49386	2.14467
9	4.12848	4.78787	5.64275	7.39334	10.39269	15.48400	23.02907	31.91333	39.11703	39.96023	40.78592	45.35498	42.88372	36.70121	26.67905	17.12956	10.62902	6.82440	4.84331	3.61789	2.76302
10	6.72164	7.99123	9.71554	10.99413	11.39482	10.44938	7.55453	4.97032	3.45311	2.84083	2.81381	3.54766	5.89325	11.88555	22.61406	31.47420	34.17546	31.79384	27.01711	22.25839	18.37758
