State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	77.22350	0.30361	0.61737	0.82485	0.70274	0.38803	0.59852	1.14950
2	5.01419	0.42312	0.51148	0.62723	0.66573	0.37885	0.52461	1.19391
3	0.52763	0.48055	3.00453	1.79123	2.28020	0.59327	0.86374	0.28918
4	7.04772	0.63204	3.70396	2.17361	3.31795	0.42151	0.68061	0.28000
5	2.91985	0.43206	1.64551	2.28955	1.24803	0.45931	0.89067	0.13764
6	1.16995	0.26978	1.93857	2.24699	2.20528	0.80267	2.08834	0.11864
7	3.06302	1.27223	1.16324	1.07894	1.42923	1.84353	2.22242	0.50586
8	1.30069	9.71406	2.02060	1.04645	1.74034	9.31037	5.51247	0.49181
9	1.05180	46.77858	6.52634	1.34582	2.48605	40.78426	18.00334	0.28043
10	0.68164	3.54044	2.84865	2.19662	3.41270	2.81390	11.64799	0.13865
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
