State (Emission order)	H3k09me3	H3k36me3	H4k20me1	H3k79me2	H3k04me1	H3k04me2	H3k09ac	H3k27ac	H3k04me3	H2AFZ
1	0.005202541030826609	9.204084953111711E-4	0.002152815062368289	1.82848853972684E-4	6.378265697995475E-4	1.1059974680706648E-4	2.3658989791890887E-5	8.239034094412688E-5	2.7609871995888277E-5	0.006645474704474174
2	0.3014765469103035	0.0075434929508754215	0.0023890731251165866	2.1539235156432107E-4	6.699949995530978E-4	1.5507734112943266E-4	3.939328552730616E-5	7.526032952359379E-5	2.110919518475307E-4	0.007312731646461776
3	0.7916353778108143	0.6326548171528874	0.04750345912877208	0.21893745134737116	0.026910764690473193	0.0031819774573521695	0.005709926501755005	0.0026468932871000547	0.0197617896624157	0.02633882483855568
4	0.0023055184038713867	0.2074850678080887	0.02127756348925381	0.03819887343803598	0.0168379591835807	1.084244771728491E-4	3.7878291004801235E-4	7.832333836266676E-4	1.6834473231365924E-5	2.5682592185645104E-5
5	0.009268511962164609	0.2155300252276184	0.11876232696954307	0.6936229211307444	0.06337990282473806	0.0010002497425814839	5.701343392904909E-4	0.0010316001237875945	6.882905487791404E-5	3.1212102205938264E-5
6	0.01062536640272873	0.27766727073705627	0.19472551618614078	0.7936119302036526	0.8424920031426343	0.27904669409127597	0.10782245557404807	0.09821318737065081	0.030877885672153858	0.001245406305860533
7	0.012083541969492845	0.009295041149368275	0.005107999149332112	0.004888389301036374	0.48391743221627936	0.0873537261785257	0.014136070113799548	0.017387754518716676	0.0019234479888165818	0.18322374796971327
8	0.018859112757918094	0.013556715823068936	0.005557626115700665	0.011333566877244782	0.7441365343027758	0.7909293456898192	0.4212867114177232	0.347624934101331	0.3500626353512119	0.5310259292725131
9	0.0039017712944862007	0.003549059923124542	0.001608047822668336	0.2121507993741254	0.36938566207072554	0.899973367773443	0.9885625838706871	0.9914974177294249	0.9928343424345171	0.8695949536911607
10	0.00908273638237739	0.23855475021028533	0.16041942827424246	0.9239620097234126	0.7487413967161809	0.9801840140337048	0.902015654954781	0.8194506427906527	0.8041533818453278	0.04816847695049917
